,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値
54,26,1007,Ｃ大23,2-3,A,ヤンマー,曇のち晴,ガンバ大阪U-23,2017,g-23,,8,6,0,262,6,13,0,2,17,5,20,42,1,1,1,0,18,8,117,6.8%,33.5%,(37.5%),(59.2%),(16.7%),(82.4%),(60.0%),(80.0%),28,6,0,686,36,10,1,13,37,21,13,12,2,0,1,0,66,24,145,19.3%,66.5%,(7.1%),(80.2%),(30.6%),(100.0%),(66.7%),(69.2%),,
55,27,1015,福島,1-2,H,吹田Ｓ,雨,ガンバ大阪U-23,2017,g-23,,11,4,0,618,8,6,0,0,24,12,24,28,4,0,0,0,30,10,134,8.2%,55.2%,(9.1%),(78.5%),(25.0%),(75.0%),(66.7%),(83.3%),18,6,0,524,23,2,0,2,32,17,25,28,4,0,1,0,47,15,142,12.7%,44.8%,(11.1%),(74.6%),(34.8%),(90.6%),(41.2%),(80.0%),,
56,28,1022,鳥取,0-0,A,チュスタ,雨,ガンバ大阪U-23,2017,g-23,,9,2,0,294,24,17,0,4,48,21,29,27,2,4,2,0,27,13,168,5.4%,46.8%,(0.0%),(41.8%),(4.2%),(77.1%),(61.9%),(72.4%),10,1,0,352,13,11,4,3,51,13,21,38,2,0,2,0,28,8,167,6.0%,53.2%,(0.0%),(52.8%),(23.1%),(82.4%),(30.8%),(66.7%),,
57,29,1030,北九州,2-2,H,吹田Ｓ,曇,ガンバ大阪U-23,2017,g-23,,13,8,0,600,8,13,3,1,28,13,16,18,2,5,1,0,39,10,135,9.6%,52.8%,(15.4%),(80.7%),(37.5%),(96.4%),(61.5%),(75.0%),9,2,0,526,8,13,5,3,23,8,25,16,4,3,2,0,39,7,138,6.5%,47.2%,(22.2%),(76.2%),(12.5%),(91.3%),(50.0%),(68.0%),,
58,30,1105,Ｆ東23,4-3,H,吹田Ｓ,晴,ガンバ大阪U-23,2017,g-23,,14,11,0,444,3,12,1,2,28,11,31,19,3,1,0,0,32,10,141,9.9%,44.4%,(28.6%),(76.1%),(0.0%),(96.4%),(36.4%),(74.2%),15,6,0,638,11,6,1,6,27,22,20,13,3,1,1,0,45,10,137,10.9%,55.6%,(20.0%),(83.4%),(9.1%),(100.0%),(40.9%),(75.0%),,
59,31,1111,YS横浜,4-3,A,ニッパツ,晴時々曇,ガンバ大阪U-23,2017,g-23,,21,8,0,494,11,16,1,9,22,24,21,30,7,5,0,0,43,21,139,15.1%,52%,(14.3%),(76.1%),(0.0%),(95.5%),(41.7%),(81.0%),10,6,0,396,6,8,5,3,21,10,26,34,2,1,3,0,27,9,133,7.5%,48%,(40.0%),(69.4%),(66.7%),(90.5%),(30.0%),(92.3%),,
60,32,1119,鹿児島,0-0,H,吹田Ｓ,曇時々晴,ガンバ大阪U-23,2017,g-23,,10,2,0,483,9,13,5,4,24,14,16,19,0,2,3,0,34,4,137,7.3%,46.8%,(0.0%),(73.7%),(0.0%),(87.5%),(28.6%),(93.8%),21,8,0,531,18,17,2,3,19,15,29,25,4,5,0,0,46,17,128,16.4%,53.2%,(0.0%),(79.3%),(27.8%),(94.7%),(66.7%),(62.1%),,
61,33,1126,相模原,2-2,A,ギオンス,晴,ガンバ大阪U-23,2017,g-23,,11,4,0,350,10,13,0,3,34,9,23,23,4,0,0,0,25,10,141,7.8%,41.5%,(18.2%),(63.7%),(0.0%),(82.4%),(66.7%),(78.3%),11,4,1,532,11,19,0,2,28,8,16,18,2,0,1,0,40,8,139,7.9%,58.5%,(18.2%),(75.6%),(9.1%),(85.7%),(50.0%),(93.8%),,
62,1,0311,盛岡,3-2,H,吹田Ｓ,晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,20,7,0,684,28,8,4,4,26,25,41,17,5,3,2,0,55,23,147,13.6%,61.4%,(15.0%),(78.1%),(21.4%),(96.2%),(60.0%),(80.5%),17,7,0,340,14,6,3,6,34,22,31,40,4,4,1,0,34,14,150,11.3%,38.6%,(11.8%),(64.4%),(21.4%),(79.4%),(50.0%),(64.5%),,
63,2,0317,鹿児島,1-4,A,鴨池,晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,11,6,1,353,14,15,2,3,20,8,25,22,3,2,2,0,39,16,115,9.6%,40.4%,(36.4%),(73.4%),(50.0%),(80.0%),(62.5%),(92.0%),11,3,0,606,9,13,3,6,21,15,16,16,1,2,1,0,39,8,118,9.3%,59.6%,(9.1%),(85.5%),(22.2%),(95.2%),(53.3%),(75.0%),,
64,3,0321,秋田,2-1,H,吹田Ｓ,曇一時雨一時晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,14,3,0,610,9,10,2,2,27,17,34,20,1,1,1,0,43,6,138,10.1%,58.3%,(14.3%),(77.7%),(33.3%),(70.4%),(47.1%),(76.5%),13,2,0,391,15,13,1,3,24,21,25,20,4,2,0,0,39,11,137,9.5%,41.7%,(7.7%),(65.7%),(20.0%),(83.3%),(38.1%),(68.0%),,
65,4,0325,YS横浜,0-0,A,ニッパツ,晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,16,8,0,462,9,17,3,5,28,10,27,27,5,0,1,0,32,10,140,11.4%,46.8%,(0.0%),(72.7%),(11.1%),(96.4%),(40.0%),(77.8%),14,4,0,557,14,12,1,4,35,19,15,26,4,2,2,0,44,16,136,10.3%,53.2%,(0.0%),(77.2%),(21.4%),(88.6%),(31.6%),(86.7%),,
66,5,0401,藤枝,4-1,H,吹田Ｓ,晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,13,6,0,432,13,9,3,2,35,12,31,18,5,1,2,0,33,15,156,8.3%,43.5%,(30.8%),(69.4%),(23.1%),(80.0%),(25.0%),(80.6%),19,6,0,611,26,9,2,8,23,14,22,20,3,3,1,0,55,20,158,12.0%,56.5%,(5.3%),(78.9%),(23.1%),(95.7%),(35.7%),(86.4%),,
67,6,0408,富山,0-3,A,富山,雨,ガンバ大阪U-23,2018,g-23,宮本　恒靖,17,6,0,355,10,17,2,3,17,21,23,38,9,1,1,0,27,12,134,12.7%,38.6%,(17.6%),(74.6%),(30.0%),(88.2%),(38.1%),(69.6%),9,1,0,738,17,8,1,4,28,11,21,10,3,2,1,0,60,9,131,6.9%,61.4%,(0.0%),(82.1%),(0.0%),(100.0%),(45.5%),(57.1%),,
68,7,0415,長野,1-1,H,吹田Ｓ,曇のち晴のち曇,ガンバ大阪U-23,2018,g-23,宮本　恒靖,9,3,0,566,12,17,4,2,20,17,29,28,3,0,2,0,52,8,132,6.8%,56%,(11.1%),(79.5%),(0.0%),(95.0%),(29.4%),(75.9%),20,3,0,428,20,10,0,4,32,10,22,13,2,4,2,0,38,19,147,13.6%,44%,(5.0%),(71.3%),(40.0%),(65.6%),(30.0%),(86.4%),,
69,9,0503,琉球,1-2,A,沖縄県陸,曇一時雨,ガンバ大阪U-23,2018,g-23,宮本　恒靖,16,2,0,583,21,11,5,3,22,17,13,21,3,3,2,0,55,23,132,12.1%,50.6%,(12.5%),(80.1%),(23.8%),(86.4%),(58.8%),(76.9%),8,5,0,509,13,12,3,3,19,12,28,28,0,5,0,0,38,9,129,6.2%,49.4%,(12.5%),(77.8%),(30.8%),(94.7%),(50.0%),(60.7%),,
70,10,0506,沼津,3-0,H,万博,曇,ガンバ大阪U-23,2018,g-23,宮本　恒靖,10,5,0,549,8,11,1,1,32,8,12,36,5,1,3,0,37,5,144,6.9%,55.8%,(30.0%),(72.5%),(25.0%),(84.4%),(50.0%),(66.7%),12,3,0,417,14,13,1,6,41,17,26,15,2,1,0,0,43,15,152,7.9%,44.2%,(0.0%),(61.9%),(42.9%),(85.4%),(58.8%),(69.2%),,
71,11,0520,北九州,4-0,A,ミクスタ,晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,16,3,0,471,22,19,2,3,21,11,18,16,1,2,1,0,47,19,122,13.1%,51.2%,(0.0%),(79.0%),(40.9%),(90.5%),(63.6%),(77.8%),11,7,0,411,11,13,2,4,15,14,17,24,3,2,1,0,39,14,106,10.4%,48.8%,(36.4%),(79.3%),(9.1%),(93.3%),(50.0%),(70.6%),,
72,8,0526,Ｆ東23,2-4,H,吹田Ｓ,晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,21,10,0,538,22,5,0,9,25,14,28,12,1,0,0,0,41,20,123,17.1%,53.8%,(9.5%),(79.4%),(31.8%),(88.0%),(50.0%),(71.4%),21,8,0,384,6,10,0,5,17,19,28,38,3,0,1,0,41,13,110,19.1%,46.2%,(19.0%),(78.6%),(33.3%),(88.2%),(52.6%),(75.0%),,
73,12,0602,Ｃ大23,1-1,A,ヤンマー,晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,21,4,0,375,16,15,3,3,26,16,11,27,1,1,1,0,45,22,130,16.2%,43.8%,(4.8%),(75.2%),(25.0%),(80.8%),(56.3%),(72.7%),12,1,0,518,13,12,2,4,25,8,25,16,1,3,1,0,36,12,131,9.2%,56.2%,(8.3%),(76.8%),(15.4%),(92.0%),(50.0%),(80.0%),,
74,13,0610,福島,1-1,H,万博,曇のち雨,ガンバ大阪U-23,2018,g-23,宮本　恒靖,17,3,1,669,27,11,0,7,23,19,15,22,3,4,1,0,56,17,121,14.0%,61.7%,(5.9%),(85.4%),(25.9%),(100.0%),(52.6%),(66.7%),11,5,0,379,7,13,4,4,18,11,20,32,3,0,0,0,27,10,120,9.2%,38.3%,(9.1%),(75.5%),(28.6%),(88.9%),(72.7%),(85.0%),,
75,14,0616,鳥取,0-1,A,とりスタ,晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,15,6,0,351,23,12,0,8,27,15,17,28,2,3,0,0,45,25,129,11.6%,40.8%,(6.7%),(67.2%),(21.7%),(74.1%),(60.0%),(64.7%),15,4,0,595,15,12,2,5,21,17,15,26,4,0,0,0,61,14,116,12.9%,59.2%,(0.0%),(82.0%),(26.7%),(100.0%),(47.1%),(73.3%),,
76,16,0630,相模原,3-2,A,ギオンス,晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,14,3,1,511,24,17,2,8,38,9,20,10,0,1,0,0,37,22,144,9.7%,52.5%,(14.3%),(77.1%),(20.8%),(86.8%),(44.4%),(55.0%),13,5,0,462,10,7,1,0,12,12,25,35,1,1,2,0,37,7,115,11.3%,47.5%,(15.4%),(76.6%),(20.0%),(91.7%),(66.7%),(72.0%),,
77,18,0716,鹿児島,0-0,H,吹田Ｓ,晴,ガンバ大阪U-23,2018,g-23,宮本　恒靖,26,6,0,481,17,11,2,9,19,10,13,15,1,4,2,0,53,16,94,27.7%,52.1%,(0.0%),(84.0%),(41.2%),(94.7%),(60.0%),(69.2%),20,7,0,379,10,15,4,12,11,9,15,18,1,2,1,0,35,23,107,18.7%,47.9%,(0.0%),(79.9%),(30.0%),(81.8%),(55.6%),(66.7%),,
78,19,0722,盛岡,1-2,A,北上,曇,ガンバ大阪U-23,2018,g-23,宮本　恒靖,11,3,1,312,9,10,6,0,16,10,18,24,2,2,4,0,44,14,112,9.8%,35.7%,(18.2%),(70.2%),(33.3%),(75.0%),(60.0%),(83.3%),10,3,0,658,22,15,2,6,34,13,18,15,1,6,1,0,66,11,132,7.6%,64.3%,(10.0%),(81.6%),(22.7%),(94.1%),(46.2%),(72.2%),,
79,15,0818,群馬,4-0,H,吹田Ｓ,晴,ガンバ大阪U-23,2018,g-23,實好　礼忠,17,8,0,571,7,12,1,2,22,14,28,27,4,2,0,0,51,12,138,12.3%,53.3%,(23.5%),(83.5%),(57.1%),(86.4%),(28.6%),(82.1%),15,2,0,539,20,9,2,7,29,10,28,11,4,1,1,0,42,20,144,10.4%,46.7%,(0.0%),(75.1%),(10.0%),(96.6%),(50.0%),(78.6%),,
80,20,0826,YS横浜,3-0,H,吹田Ｓ,晴,ガンバ大阪U-23,2018,g-23,實好　礼忠,25,6,0,481,11,6,0,6,22,19,34,21,5,2,0,0,35,17,128,19.5%,45.3%,(12.0%),(82.7%),(18.2%),(86.4%),(47.4%),(70.6%),17,5,0,672,12,8,2,2,21,11,23,18,3,0,1,0,59,9,122,13.9%,54.7%,(0.0%),(85.1%),(8.3%),(95.2%),(36.4%),(73.9%),,
81,21,0902,群馬,0-1,A,正田スタ,曇時々雨,ガンバ大阪U-23,2018,g-23,實好　礼忠,12,4,0,393,17,11,0,11,16,10,22,22,4,1,1,0,48,17,106,11.3%,36.1%,(8.3%),(76.6%),(5.9%),(75.0%),(40.0%),(81.8%),6,0,0,807,9,6,1,5,19,9,15,24,3,0,5,2,38,12,95,6.3%,63.9%,(0.0%),(89.2%),(11.1%),(94.7%),(33.3%),(86.7%),,
82,23,0915,琉球,2-0,H,吹田Ｓ,曇,ガンバ大阪U-23,2018,g-23,實好　礼忠,10,4,0,450,11,9,2,2,11,12,26,28,6,5,2,0,39,8,105,9.5%,44.1%,(20.0%),(83.8%),(18.2%),(100.0%),(33.3%),(69.2%),15,4,0,639,20,12,6,8,19,11,13,11,2,2,0,0,64,17,113,13.3%,55.9%,(0.0%),(84.8%),(20.0%),(84.2%),(45.5%),(92.3%),,
83,24,0923,秋田,1-1,A,秋田陸,晴,ガンバ大阪U-23,2018,g-23,實好　礼忠,16,5,0,458,14,11,1,3,14,12,21,26,1,1,0,0,54,19,110,14.5%,48.8%,(6.3%),(80.8%),(35.7%),(78.6%),(66.7%),(95.2%),14,6,0,550,16,7,1,7,24,16,10,7,3,1,0,0,53,15,111,12.6%,51.2%,(7.1%),(84.5%),(25.0%),(91.7%),(18.8%),(90.0%),,
84,25,0930,Ｆ東23,2-2,A,味フィ西,曇のち雨,ガンバ大阪U-23,2018,g-23,實好　礼忠,24,5,0,419,20,12,3,10,33,20,35,10,1,6,1,0,40,21,141,17.0%,45.8%,(8.3%),(71.6%),(20.0%),(90.9%),(40.0%),(82.9%),10,4,0,501,7,8,5,1,16,11,27,23,3,3,0,0,38,8,130,7.7%,54.2%,(20.0%),(80.4%),(28.6%),(81.3%),(36.4%),(77.8%),,
85,26,1007,鳥取,2-0,H,吹田Ｓ,曇,ガンバ大阪U-23,2018,g-23,實好　礼忠,30,6,0,641,14,4,2,7,22,20,16,22,2,3,1,0,61,17,118,25.4%,55.6%,(6.7%),(84.7%),(21.4%),(77.3%),(45.0%),(87.5%),16,7,0,446,12,8,3,8,21,5,19,22,2,2,0,0,36,18,121,13.2%,44.4%,(0.0%),(77.8%),(25.0%),(90.5%),(60.0%),(78.9%),,
86,27,1013,藤枝,1-2,A,藤枝サ,曇,ガンバ大阪U-23,2018,g-23,實好　礼忠,11,3,0,296,8,10,1,5,18,10,30,25,4,2,2,0,27,12,116,9.5%,32.1%,(18.2%),(69.6%),(25.0%),(77.8%),(40.0%),(66.7%),9,2,0,760,15,15,2,4,24,16,18,16,3,1,1,0,43,6,123,7.3%,67.9%,(11.1%),(86.4%),(13.3%),(95.8%),(43.8%),(83.3%),,
87,28,1021,沼津,2-1,A,愛鷹,晴,ガンバ大阪U-23,2018,g-23,實好　礼忠,8,2,0,288,19,7,3,4,26,12,18,20,1,4,0,0,33,11,116,6.9%,31.8%,(12.5%),(64.6%),(10.5%),(88.5%),(50.0%),(77.8%),11,4,0,710,8,7,5,2,28,12,24,31,2,3,0,0,45,9,114,9.6%,68.2%,(18.2%),(85.5%),(25.0%),(89.3%),(33.3%),(70.8%),,
88,29,1028,相模原,2-1,H,吹田Ｓ,晴,ガンバ大阪U-23,2018,g-23,實好　礼忠,18,7,0,646,13,12,1,3,12,20,22,26,3,1,1,0,53,17,123,14.6%,53.4%,(11.1%),(85.3%),(23.1%),(91.7%),(50.0%),(81.8%),10,5,0,520,14,15,1,1,20,5,25,23,4,1,1,0,43,16,129,7.8%,46.6%,(10.0%),(79.4%),(28.6%),(85.0%),(40.0%),(72.0%),,
89,30,1104,富山,1-1,H,吹田Ｓ,晴,ガンバ大阪U-23,2018,g-23,實好　礼忠,18,4,1,738,13,11,3,8,15,14,20,21,2,2,0,0,50,13,116,15.5%,61.9%,(5.6%),(86.2%),(15.4%),(100.0%),(50.0%),(80.0%),10,3,0,423,12,12,2,1,18,11,24,17,5,3,1,0,30,11,110,9.1%,38.1%,(10.0%),(77.5%),(16.7%),(72.2%),(54.5%),(79.2%),,
90,31,1111,長野,1-2,A,長野Ｕ,晴,ガンバ大阪U-23,2018,g-23,實好　礼忠,17,6,0,276,11,14,1,5,16,8,20,37,5,2,0,0,30,16,119,14.3%,29.8%,(11.8%),(67.0%),(36.4%),(56.3%),(50.0%),(60.0%),23,8,0,841,23,10,2,7,27,21,13,14,2,1,1,0,61,17,116,19.8%,70.2%,(4.3%),(86.2%),(26.1%),(100.0%),(66.7%),(69.2%),,
91,32,1118,福島,3-4,A,とうスタ,晴,ガンバ大阪U-23,2018,g-23,實好　礼忠,10,5,1,251,6,6,3,2,19,9,16,52,2,0,2,0,23,8,119,8.4%,35.3%,(40.0%),(65.7%),(33.3%),(84.2%),(33.3%),(62.5%),25,8,0,732,26,11,0,9,42,24,14,7,1,3,0,0,76,25,136,18.4%,64.7%,(12.0%),(82.0%),(19.2%),(85.7%),(62.5%),(71.4%),,
92,33,1125,北九州,2-1,H,吹田Ｓ,曇,ガンバ大阪U-23,2018,g-23,實好　礼忠,13,5,0,626,12,12,0,2,12,13,28,26,3,3,3,0,58,15,117,11.1%,52.4%,(15.4%),(82.9%),(25.0%),(83.3%),(38.5%),(85.7%),16,4,0,522,13,17,3,3,20,17,19,20,2,0,1,0,49,18,125,12.8%,47.6%,(6.3%),(81.4%),(30.8%),(90.0%),(41.2%),(78.9%),,
93,34,1202,Ｃ大23,0-2,H,吹田Ｓ,晴,ガンバ大阪U-23,2018,g-23,實好　礼忠,15,4,0,570,5,11,4,4,15,14,19,9,1,5,3,1,42,11,114,13.2%,54.7%,(0.0%),(81.8%),(20.0%),(93.3%),(50.0%),(73.7%),15,4,0,435,13,18,6,4,10,7,26,13,2,2,1,0,27,12,122,12.3%,45.3%,(13.3%),(77.9%),(46.2%),(100.0%),(28.6%),(80.8%),,
94,1,0310,八戸,2-2,H,パナスタ,雨,ガンバ大阪U-23,2019,g-23,森下　仁志,14,4,1,641,20,15,1,5,20,20,15,16,2,3,0,0,50,18,143,9.8%,58.2%,(14.3%),(81.0%),(5.0%),(80.0%),(30.0%),(66.7%),16,4,0,371,12,12,3,5,20,13,27,32,5,1,1,0,30,12,140,11.4%,41.8%,(12.5%),(67.1%),(8.3%),(90.0%),(53.8%),(74.1%),1.246,1.859
95,2,0317,沼津,0-0,A,愛鷹,曇,ガンバ大阪U-23,2019,g-23,森下　仁志,19,3,0,342,27,5,2,7,25,9,27,19,4,1,0,0,31,14,112,17.0%,33.8%,(0.0%),(65.8%),(11.1%),(96.0%),(55.6%),(70.4%),11,2,0,785,7,8,1,5,19,19,23,30,1,1,1,0,58,14,112,9.8%,66.2%,(0.0%),(87.3%),(0.0%),(94.7%),(42.1%),(56.5%),0.687,1.895
96,3,0324,北九州,0-1,H,パナスタ,曇時々晴,ガンバ大阪U-23,2019,g-23,森下　仁志,18,4,0,724,9,10,1,7,26,23,13,9,5,2,1,0,61,17,140,12.9%,60.6%,(0.0%),(83.8%),(0.0%),(96.2%),(34.8%),(69.2%),9,4,0,400,10,13,2,2,22,7,35,33,4,1,1,0,26,10,123,7.3%,39.4%,(11.1%),(74.8%),(20.0%),(81.8%),(42.9%),(62.9%),1.105,1.305
97,4,0331,YS横浜,5-0,A,ニッパツ,晴一時曇,ガンバ大阪U-23,2019,g-23,森下　仁志,13,6,0,345,10,12,3,4,27,9,34,15,4,3,0,0,29,10,136,9.6%,44.9%,(0.0%),(68.1%),(10.0%),(92.6%),(33.3%),(70.6%),24,9,0,512,9,7,3,4,28,21,28,15,3,3,2,0,48,19,127,18.9%,55.1%,(20.8%),(80.1%),(11.1%),(100.0%),(61.9%),(50.0%),1.966,0.932
98,5,0407,Ｆ東23,2-1,H,パナスタ,晴,ガンバ大阪U-23,2019,g-23,森下　仁志,19,8,0,631,8,13,0,10,31,24,22,13,1,1,1,0,57,20,145,13.1%,57.5%,(10.5%),(81.9%),(0.0%),(96.8%),(50.0%),(54.5%),7,3,0,427,11,10,1,1,22,10,26,24,2,0,0,0,25,9,131,5.3%,42.5%,(14.3%),(71.2%),(18.2%),(90.9%),(10.0%),(73.1%),0.613,1.889
99,6,0413,熊本,1-2,H,万博,晴のち曇,ガンバ大阪U-23,2019,g-23,森下　仁志,15,6,0,569,10,17,0,4,21,15,22,20,1,2,0,0,45,14,121,12.4%,49.9%,(6.7%),(80.8%),(10.0%),(90.5%),(73.3%),(77.3%),13,4,2,553,21,13,2,2,25,7,25,25,2,0,0,0,45,11,127,10.2%,50.1%,(15.4%),(81.6%),(33.3%),(88.0%),(42.9%),(76.0%),2.657,1.455
100,7,0426,群馬,0-0,A,正田スタ,曇のち雨,ガンバ大阪U-23,2019,g-23,森下　仁志,8,1,0,287,20,16,1,5,28,9,17,21,2,0,0,0,24,9,114,7.0%,33%,(0.0%),(68.3%),(30.0%),(71.4%),(22.2%),(58.8%),7,1,0,847,9,9,0,3,28,15,18,23,1,1,1,0,69,9,106,6.6%,67%,(0.0%),(87.5%),(11.1%),(96.4%),(46.7%),(66.7%),0.61,0.618
101,8,0505,秋田,3-1,H,パナスタ,晴,ガンバ大阪U-23,2019,g-23,森下　仁志,27,16,1,611,15,9,2,11,23,22,16,11,0,0,0,0,57,30,122,22.1%,59.7%,(11.1%),(84.0%),(13.3%),(95.7%),(50.0%),(50.0%),7,1,0,346,5,14,0,1,22,3,24,27,0,2,1,0,22,5,118,5.9%,40.3%,(14.3%),(72.8%),(40.0%),(81.8%),(33.3%),(45.8%),0.654,2.869
102,9,0518,富山,1-3,A,富山,晴のち曇,ガンバ大阪U-23,2019,g-23,森下　仁志,16,6,0,431,18,11,3,2,27,23,24,19,6,0,1,0,36,15,127,12.6%,44.9%,(18.8%),(75.6%),(22.2%),(88.9%),(39.1%),(66.7%),15,4,0,584,4,16,0,5,21,14,23,26,2,3,2,0,41,9,127,11.8%,55.1%,(6.7%),(81.8%),(0.0%),(95.2%),(42.9%),(69.6%),2.059,2.032
103,10,0602,藤枝,3-1,H,パナスタ,雨,ガンバ大阪U-23,2019,g-23,森下　仁志,18,4,0,750,6,11,2,6,14,26,17,16,1,1,1,0,65,13,110,16.4%,63.1%,(16.7%),(88.0%),(0.0%),(100.0%),(50.0%),(58.8%),12,3,0,395,17,11,1,4,15,8,32,16,1,2,0,0,28,9,125,9.6%,36.9%,(8.3%),(75.4%),(29.4%),(73.3%),(12.5%),(71.9%),1.316,0.684
104,11,0609,讃岐,2-2,H,パナスタ,晴時々曇,ガンバ大阪U-23,2019,g-23,森下　仁志,17,8,0,556,11,10,1,6,22,18,21,25,2,2,0,0,54,14,123,13.8%,53.6%,(11.8%),(83.6%),(18.2%),(100.0%),(44.4%),(71.4%),14,4,0,505,17,12,2,4,30,13,19,16,6,1,0,0,33,7,134,10.4%,46.4%,(14.3%),(79.2%),(17.6%),(76.7%),(69.2%),(63.2%),1.458,1.143
105,12,0615,相模原,0-1,A,ギオンス,雨,ガンバ大阪U-23,2019,g-23,森下　仁志,19,5,0,418,15,13,1,8,14,11,22,27,3,2,2,0,31,7,131,14.5%,41.4%,(5.3%),(73.7%),(26.7%),(57.1%),(63.6%),(72.7%),11,2,0,620,9,10,2,5,28,20,8,22,1,1,1,0,65,6,133,8.3%,58.6%,(0.0%),(80.2%),(0.0%),(96.4%),(30.0%),(37.5%),0.712,1.618
106,13,0623,鳥取,3-1,H,パナスタ,曇時々雨,ガンバ大阪U-23,2019,g-23,森下　仁志,15,4,0,486,8,6,4,3,21,16,19,12,3,6,1,0,39,12,136,11.0%,45.7%,(20.0%),(75.5%),(50.0%),(95.2%),(50.0%),(78.9%),22,9,0,663,15,13,6,4,21,15,30,18,1,4,1,0,58,16,137,16.1%,54.3%,(4.5%),(84.3%),(46.7%),(95.2%),(66.7%),(60.0%),2.18,2.427
107,14,0630,長野,2-1,A,長野Ｕ,曇,ガンバ大阪U-23,2019,g-23,森下　仁志,15,5,0,434,19,5,1,4,38,9,23,17,2,1,0,0,40,14,128,11.7%,44.2%,(6.7%),(69.1%),(36.8%),(81.6%),(44.4%),(60.9%),7,2,1,542,10,15,1,3,28,9,19,27,2,1,0,0,30,10,133,5.3%,55.8%,(14.3%),(76.4%),(10.0%),(82.1%),(55.6%),(78.9%),1.065,1.309
108,15,0707,岩手,1-2,H,パナスタ,晴,ガンバ大阪U-23,2019,g-23,森下　仁志,12,2,1,706,13,11,0,7,19,16,11,31,2,4,1,0,78,12,122,9.8%,63.8%,(8.3%),(85.8%),(15.4%),(89.5%),(31.3%),(45.5%),16,5,0,327,16,13,4,6,25,12,25,30,4,0,0,0,26,12,125,12.8%,36.2%,(12.5%),(67.9%),(31.3%),(80.0%),(41.7%),(68.0%),2.327,1.548
109,16,0714,福島,1-2,A,あいづ,曇,ガンバ大阪U-23,2019,g-23,森下　仁志,19,8,0,513,18,10,0,10,22,10,19,14,3,2,1,0,49,22,132,14.4%,47.8%,(10.5%),(79.7%),(33.3%),(86.4%),(60.0%),(63.2%),14,5,0,559,12,6,2,6,20,18,17,20,1,0,0,0,47,12,121,11.6%,52.2%,(7.1%),(81.8%),(25.0%),(90.0%),(77.8%),(70.6%),1.366,2.678
110,17,0721,Ｃ大23,4-1,A,ヤンマー,曇,ガンバ大阪U-23,2019,g-23,森下　仁志,6,3,0,424,9,14,1,0,17,11,14,8,4,2,1,0,25,4,114,5.3%,40%,(16.7%),(78.8%),(11.1%),(82.4%),(54.5%),(71.4%),24,14,1,710,10,7,2,6,15,17,18,14,1,1,2,0,77,19,111,21.6%,60%,(16.7%),(89.9%),(30.0%),(93.3%),(70.6%),(66.7%),3.446,0.57
111,18,0728,長野,1-2,H,パナスタ,晴,ガンバ大阪U-23,2019,g-23,森下　仁志,9,4,0,808,9,7,0,3,19,15,17,16,1,1,1,0,75,9,113,8.0%,67.2%,(11.1%),(87.6%),(0.0%),(89.5%),(40.0%),(82.4%),6,2,0,357,12,10,1,1,22,8,29,15,8,0,0,0,26,8,116,5.2%,32.8%,(33.3%),(73.4%),(8.3%),(81.8%),(12.5%),(82.8%),0.805,0.804
112,19,0804,八戸,2-2,A,ダイスタ,晴,ガンバ大阪U-23,2019,g-23,森下　仁志,16,5,0,405,23,9,3,7,26,14,23,15,1,0,2,0,39,19,129,12.4%,40.4%,(12.5%),(68.6%),(21.7%),(92.3%),(42.9%),(73.9%),15,4,0,654,5,11,0,1,23,19,25,17,7,3,2,0,41,14,130,11.5%,59.6%,(13.3%),(82.4%),(0.0%),(91.3%),(42.1%),(64.0%),1.782,1.042
